"SUID","KEGG_ID","KEGG_LINK","KEGG_NODE_FILL_COLOR","KEGG_NODE_HEIGHT","KEGG_NODE_LABEL","KEGG_NODE_LABEL_COLOR","KEGG_NODE_LABEL_LIST","KEGG_NODE_LABEL_LIST_FIRST","KEGG_NODE_REACTIONID","KEGG_NODE_SHAPE","KEGG_NODE_TYPE","KEGG_NODE_WIDTH","KEGG_NODE_X","KEGG_NODE_Y","name","selected","shared name"
"303","ko:K02777|ko:K02752|ko:K02753","https://www.kegg.jp/dbget-bin/www_bget?K02777+K02752+K02753","#FFFFFF","17","K02777...","#000000","K02777...","K02777...","rn:R04394","rectangle","ortholog","46","181","386","path:sce00010:84","false","path:sce00010:84"
"304","ko:K01222|ko:K01223","https://www.kegg.jp/dbget-bin/www_bget?K01222+K01223","#FFFFFF","17","K01222...","#000000","K01222...","K01222...","rn:R05133","rectangle","ortholog","46","291","359","path:sce00010:85","false","path:sce00010:85"
"305","ko:K01222|ko:K01223","https://www.kegg.jp/dbget-bin/www_bget?K01222+K01223","#FFFFFF","17","K01222...","#000000","K01222...","K01222...","rn:R05134","rectangle","ortholog","46","291","385","path:sce00010:86","false","path:sce00010:86"
"306","cpd:C00031","https://www.kegg.jp/dbget-bin/www_bget?C00031","#FFFFFF","8","C00031","#000000","C00031","Glucose",,"circle","compound","8","601","195","path:sce00010:87","false","path:sce00010:87"
"307","cpd:C00103","https://www.kegg.jp/dbget-bin/www_bget?C00103","#FFFFFF","8","C00103","#000000","C00103","Cori ester",,"circle","compound","8","483","143","path:sce00010:88","false","path:sce00010:88"
"308","cpd:C00631","https://www.kegg.jp/dbget-bin/www_bget?C00631","#FFFFFF","8","C00631","#000000","C00631","2-Phospho-D-glycerate",,"circle","compound","8","483","664","path:sce00010:89","false","path:sce00010:89"
"309","cpd:C00267","https://www.kegg.jp/dbget-bin/www_bget?C00267","#FFFFFF","8","C00267","#000000","C00267","alpha-D-Glucose",,"circle","compound","8","181","228","path:sce00010:90","false","path:sce00010:90"
"310","cpd:C00221","https://www.kegg.jp/dbget-bin/www_bget?C00221","#FFFFFF","8","C00221","#000000","C00221","beta-D-Glucose",,"circle","compound","8","181","301","path:sce00010:91","false","path:sce00010:91"
"311","cpd:C00111","https://www.kegg.jp/dbget-bin/www_bget?C00111","#FFFFFF","8","C00111","#000000","C00111","Glycerone phosphate",,"circle","compound","8","332","448","path:sce00010:92","false","path:sce00010:92"
"312","cpd:C01172","https://www.kegg.jp/dbget-bin/www_bget?C01172","#FFFFFF","8","C01172","#000000","C01172","beta-D-Glucose 6-phosphate",,"circle","compound","8","332","301","path:sce00010:93","false","path:sce00010:93"
"313","cpd:C00668","https://www.kegg.jp/dbget-bin/www_bget?C00668","#FFFFFF","8","C00668","#000000","C00668","alpha-D-Glucose 6-phosphate",,"circle","compound","8","483","230","path:sce00010:94","false","path:sce00010:94"
